year,week,matchup_type,home_team,home_score,away_team,away_score,margin
2023,11,NONE,Bijan and The Riddlers,122.14,Houston we have a problem ,122.7,0.56
2023,11,NONE,13 BLOCK ,143.04,The Shiva Whisperer,76.66,66.38
2023,11,NONE,Cooper City Penguins,148.86,ParsonTheInterruption,156.8,7.94
2023,12,NONE,NoMorePieces💔,174.06,Me and Mahomies ,88.22,85.84
2023,12,NONE,Amon a Mission,143.16,The Indians ,145.9,2.74
2023,12,NONE,Houston we have a problem ,162.06,Orlando GOONS,73.68,88.38
2023,12,NONE,The Shiva Whisperer,125.94,Out of business ,122.86,3.08
2023,12,NONE,ParsonTheInterruption,128.58,Bijan and The Riddlers,140.98,12.4
2023,12,NONE,Cooper City Penguins,105.58,13 BLOCK ,124.34,18.76
2023,13,NONE,Amon a Mission,143.32,NoMorePieces💔,133.28,10.04
2023,13,NONE,Me and Mahomies ,146.9,Houston we have a problem ,144.3,2.6
2023,13,NONE,The Indians ,88.82,The Shiva Whisperer,119.06,30.24
2023,13,NONE,Orlando GOONS,79.98,ParsonTheInterruption,76.18,3.8
2023,13,NONE,Out of business ,152.84,Cooper City Penguins,160.76,7.92
2023,13,NONE,Bijan and The Riddlers,128.32,13 BLOCK ,125.38,2.94
2023,14,NONE,NoMorePieces💔,113.42,Houston we have a problem ,120.6,7.18
2023,14,NONE,The Shiva Whisperer,105.34,Amon a Mission,84.22,21.12
2023,14,NONE,ParsonTheInterruption,125.44,Me and Mahomies ,97.74,27.7
2023,14,NONE,Cooper City Penguins,156.34,The Indians ,85.18,71.16
2023,14,NONE,13 BLOCK ,140.2,Orlando GOONS,127.32,12.88
2023,14,NONE,Bijan and The Riddlers,84.54,Out of business ,154.26,69.72
2023,15,WINNERS_BRACKET,Houston we have a problem ,170.48,,0,
2023,15,WINNERS_BRACKET,NoMorePieces💔,132.34,Amon a Mission,109.86,22.48
2023,15,WINNERS_BRACKET,The Shiva Whisperer,91.56,13 BLOCK ,131.32,39.76
2023,15,WINNERS_BRACKET,Cooper City Penguins,136.94,,0,
2023,15,LOSERS_CONSOLATION_LADDER,The Indians ,113.02,ParsonTheInterruption,110.0,3.02
2023,15,LOSERS_CONSOLATION_LADDER,Bijan and The Riddlers,123.52,Me and Mahomies ,116.5,7.02
2023,15,LOSERS_CONSOLATION_LADDER,Orlando GOONS,99.74,Out of business ,140.86,41.12
2023,16,WINNERS_BRACKET,Houston we have a problem ,96.9,NoMorePieces💔,88.48,8.42
2023,16,WINNERS_BRACKET,Cooper City Penguins,127.98,13 BLOCK ,151.3,23.32
2023,16,WINNERS_CONSOLATION_LADDER,The Shiva Whisperer,106.72,Amon a Mission,134.64,27.92
2023,16,LOSERS_CONSOLATION_LADDER,The Indians ,80.74,Bijan and The Riddlers,163.98,83.24
2023,16,LOSERS_CONSOLATION_LADDER,ParsonTheInterruption,89.34,Out of business ,65.1,24.24
2023,16,LOSERS_CONSOLATION_LADDER,Me and Mahomies ,112.8,Orlando GOONS,153.0,40.2
2023,17,WINNERS_BRACKET,Houston we have a problem ,132.6,13 BLOCK ,175.98,43.38
2023,17,WINNERS_CONSOLATION_LADDER,Cooper City Penguins,150.94,NoMorePieces💔,135.06,15.88
2023,17,WINNERS_CONSOLATION_LADDER,The Shiva Whisperer,123.0,Amon a Mission,134.94,11.94
2023,17,LOSERS_CONSOLATION_LADDER,ParsonTheInterruption,103.16,Bijan and The Riddlers,123.64,20.48
2023,17,LOSERS_CONSOLATION_LADDER,The Indians ,100.58,Orlando GOONS,88.32,12.26
2023,17,LOSERS_CONSOLATION_LADDER,Me and Mahomies ,88.0,Out of business ,55.64,32.36
2024,1,NONE,To Infinity and Bijan,142.76,Orlando GOONS,123.1,19.66
2024,1,NONE,Houston Texans ,91.74,13 BLOCK ,130.38,38.64
2024,1,NONE,Franklin's Football Turtles,95.68,Kyle shanahan the terrorist,130.06,34.38
2024,1,NONE,CMC Cursed My Ceason,107.62,The Indians ,133.52,25.9
2024,1,NONE,The Shiva Whisperer,127.42,Garbage Collector,100.78,26.64
2024,1,NONE,Ceedee's TDs,134.66,Washington Commanders,129.96,4.7
2024,2,NONE,Orlando GOONS,123.3,13 BLOCK ,103.76,19.54
2024,2,NONE,Kyle shanahan the terrorist,160.74,To Infinity and Bijan,139.94,20.8
2024,2,NONE,Franklin's Football Turtles,142.76,Houston Texans ,86.64,56.12
2024,2,NONE,The Indians ,127.78,Garbage Collector,121.84,5.94
2024,2,NONE,Washington Commanders,115.6,CMC Cursed My Ceason,126.7,11.1
2024,2,NONE,Ceedee's TDs,102.42,The Shiva Whisperer,124.22,21.8
2024,3,NONE,Kyle shanahan the terrorist,201.96,Orlando GOONS,107.62,94.34
2024,3,NONE,13 BLOCK ,103.48,Franklin's Football Turtles,148.42,44.94
2024,3,NONE,To Infinity and Bijan,93.96,Houston Texans ,135.48,41.52
2024,3,NONE,Washington Commanders,99.5,The Indians ,80.08,19.42
2024,3,NONE,Garbage Collector,99.18,Ceedee's TDs,122.76,23.58
2024,3,NONE,CMC Cursed My Ceason,94.06,The Shiva Whisperer,99.94,5.88
2024,4,NONE,Orlando GOONS,130.28,Franklin's Football Turtles,86.5,43.78
2024,4,NONE,Houston Texans ,125.2,Kyle shanahan the terrorist,172.94,47.74
2024,4,NONE,To Infinity and Bijan,126.72,13 BLOCK ,101.64,25.08
2024,4,NONE,The Indians ,136.94,Ceedee's TDs,126.08,10.86
2024,4,NONE,The Shiva Whisperer,92.22,Washington Commanders,153.08,60.86
2024,4,NONE,CMC Cursed My Ceason,126.9,Garbage Collector,60.58,66.32
2024,5,NONE,Houston Texans ,94.34,Orlando GOONS,116.76,22.42
2024,5,NONE,Franklin's Football Turtles,140.64,To Infinity and Bijan,145.82,5.18
2024,5,NONE,Kyle shanahan the terrorist,121.58,13 BLOCK ,127.86,6.28
2024,5,NONE,The Shiva Whisperer,119.56,The Indians ,133.02,13.46
2024,5,NONE,Ceedee's TDs,156.46,CMC Cursed My Ceason,136.46,20.0
2024,5,NONE,Washington Commanders,123.54,Garbage Collector,129.1,5.56
2024,6,NONE,Orlando GOONS,148.72,The Indians ,86.72,62.0
2024,6,NONE,To Infinity and Bijan,120.66,CMC Cursed My Ceason,136.2,15.54
2024,6,NONE,13 BLOCK ,108.2,Garbage Collector,57.96,50.24
2024,6,NONE,Kyle shanahan the terrorist,112.32,Washington Commanders,132.18,19.86
2024,6,NONE,Franklin's Football Turtles,113.3,Ceedee's TDs,131.12,17.82
2024,6,NONE,Houston Texans ,160.3,The Shiva Whisperer,135.06,25.24
2024,7,NONE,The Indians ,129.24,To Infinity and Bijan,83.74,45.5
2024,7,NONE,CMC Cursed My Ceason,128.86,13 BLOCK ,120.86,8.0
2024,7,NONE,Garbage Collector,83.6,Kyle shanahan the terrorist,116.18,32.58
2024,7,NONE,Washington Commanders,127.04,Franklin's Football Turtles,136.82,9.78
2024,7,NONE,Ceedee's TDs,111.44,Houston Texans ,88.76,22.68
2024,7,NONE,The Shiva Whisperer,103.56,Orlando GOONS,121.0,17.44
2024,8,NONE,13 BLOCK ,85.76,The Indians ,113.46,27.7
2024,8,NONE,Kyle shanahan the terrorist,126.74,CMC Cursed My Ceason,106.24,20.5
2024,8,NONE,Franklin's Football Turtles,133.92,Garbage Collector,122.28,11.64
2024,8,NONE,Houston Texans ,163.8,Washington Commanders,120.28,43.52
2024,8,NONE,Orlando GOONS,135.26,Ceedee's TDs,151.36,16.1
2024,8,NONE,To Infinity and Bijan,115.22,The Shiva Whisperer,115.24,0.02
2024,9,NONE,The Indians ,117.08,Kyle shanahan the terrorist,132.38,15.3
2024,9,NONE,CMC Cursed My Ceason,115.32,Franklin's Football Turtles,106.3,9.02
2024,9,NONE,Garbage Collector,70.66,Houston Texans ,94.14,23.48
2024,9,NONE,Washington Commanders,121.14,Orlando GOONS,139.32,18.18
2024,9,NONE,Ceedee's TDs,129.14,To Infinity and Bijan,158.56,29.42
2024,9,NONE,The Shiva Whisperer,113.0,13 BLOCK ,132.32,19.32
2024,10,NONE,Franklin's Football Turtles,118.1,The Indians ,113.3,4.8
2024,10,NONE,Houston Texans ,104.9,CMC Cursed My Ceason,106.5,1.6
2024,10,NONE,Orlando GOONS,96.74,Garbage Collector,138.84,42.1
2024,10,NONE,To Infinity and Bijan,108.88,Washington Commanders,92.86,16.02
2024,10,NONE,13 BLOCK ,144.32,Ceedee's TDs,159.44,15.12
2024,10,NONE,Kyle shanahan the terrorist,108.14,The Shiva Whisperer,133.18,25.04
2024,11,NONE,The Indians ,77.08,Houston Texans ,103.8,26.72
2024,11,NONE,CMC Cursed My Ceason,114.48,Orlando GOONS,157.24,42.76
2024,11,NONE,Garbage Collector,112.6,To Infinity and Bijan,122.44,9.84
2024,11,NONE,Washington Commanders,136.98,13 BLOCK ,149.16,12.18
2024,11,NONE,Ceedee's TDs,157.34,Kyle shanahan the terrorist,85.22,72.12
2024,11,NONE,The Shiva Whisperer,125.94,Franklin's Football Turtles,115.78,10.16
2024,12,NONE,The Indians ,91.58,Orlando GOONS,135.66,44.08
2024,12,NONE,CMC Cursed My Ceason,107.22,To Infinity and Bijan,114.2,6.98
2024,12,NONE,Garbage Collector,93.7,13 BLOCK ,134.68,40.98
2024,12,NONE,Washington Commanders,108.12,Kyle shanahan the terrorist,160.06,51.94
2024,12,NONE,Ceedee's TDs,124.5,Franklin's Football Turtles,100.66,23.84
2024,12,NONE,The Shiva Whisperer,142.96,Houston Texans ,107.8,35.16
2024,13,NONE,To Infinity and Bijan,172.44,The Indians ,128.08,44.36
2024,13,NONE,13 BLOCK ,123.0,CMC Cursed My Ceason,115.96,7.04
2024,13,NONE,Kyle shanahan the terrorist,127.0,Garbage Collector,111.5,15.5
2024,13,NONE,Franklin's Football Turtles,125.22,Washington Commanders,121.88,3.34
2024,13,NONE,Houston Texans ,99.08,Ceedee's TDs,121.46,22.38
2024,13,NONE,Orlando GOONS,111.6,The Shiva Whisperer,123.72,12.12
2024,14,NONE,The Indians ,143.06,13 BLOCK ,137.54,5.52
2024,14,NONE,CMC Cursed My Ceason,129.32,Kyle shanahan the terrorist,104.46,24.86
2024,14,NONE,Garbage Collector,148.66,Franklin's Football Turtles,141.38,7.28
2024,14,NONE,Washington Commanders,76.12,Houston Texans ,152.72,76.6
2024,14,NONE,Ceedee's TDs,151.76,Orlando GOONS,149.0,2.76
2024,14,NONE,The Shiva Whisperer,135.22,To Infinity and Bijan,84.76,50.46
2024,15,WINNERS_BRACKET,Ceedee's TDs,59.34,,0,
2024,15,WINNERS_BRACKET,To Infinity and Bijan,144.94,Orlando GOONS,142.06,2.88
2024,15,WINNERS_BRACKET,The Shiva Whisperer,154.8,The Indians ,143.9,10.9
2024,15,WINNERS_BRACKET,Kyle shanahan the terrorist,93.84,,0,
2024,15,LOSERS_CONSOLATION_LADDER,13 BLOCK ,118.34,CMC Cursed My Ceason,124.7,6.36
2024,15,LOSERS_CONSOLATION_LADDER,Franklin's Football Turtles,145.48,Houston Texans ,107.74,37.74
2024,15,LOSERS_CONSOLATION_LADDER,Garbage Collector,95.46,Washington Commanders,15.7,79.76
2024,16,WINNERS_BRACKET,Ceedee's TDs,121.08,To Infinity and Bijan,138.72,17.64
2024,16,WINNERS_BRACKET,Kyle shanahan the terrorist,139.5,The Shiva Whisperer,106.64,32.86
2024,16,WINNERS_CONSOLATION_LADDER,Orlando GOONS,164.42,The Indians ,208.08,43.66
2024,16,LOSERS_CONSOLATION_LADDER,CMC Cursed My Ceason,107.52,Franklin's Football Turtles,100.46,7.06
2024,16,LOSERS_CONSOLATION_LADDER,13 BLOCK ,153.5,Garbage Collector,90.98,62.52
2024,16,LOSERS_CONSOLATION_LADDER,Houston Texans ,36.86,Washington Commanders,12.2,24.66
2024,17,WINNERS_BRACKET,Kyle shanahan the terrorist,119.48,To Infinity and Bijan,198.08,78.6
2024,17,WINNERS_CONSOLATION_LADDER,Ceedee's TDs,112.18,The Shiva Whisperer,95.82,16.36
2024,17,WINNERS_CONSOLATION_LADDER,Orlando GOONS,121.86,The Indians ,98.92,22.94
2024,17,LOSERS_CONSOLATION_LADDER,13 BLOCK ,165.08,CMC Cursed My Ceason,142.86,22.22
2024,17,LOSERS_CONSOLATION_LADDER,Franklin's Football Turtles,126.28,Houston Texans ,95.9,30.38
2024,17,LOSERS_CONSOLATION_LADDER,Garbage Collector,131.84,Washington Commanders,14.3,117.54
2025,1,NONE,Griddy Galaxy Gurus,94.58,Orlando GOONS,166.62,72.04
2025,1,NONE,Fantasy Hunters 🥷🏽,116.32,News 13,139.86,23.54
2025,1,NONE,Franklin's Football Turtles,121.88,The Huncho Pirates,114.22,7.66
2025,1,NONE,Cooper City  Chickens,121.56,Bijan the Mustard King ,103.42,18.14
2025,1,NONE,The Shiva Whisperer,112.02,RUMBLING,110.42,1.6
2025,1,NONE,Don’t Go Chase-ing Waterfalls,133.38,Trash can ,136.84,3.46
2025,2,NONE,Orlando GOONS,149.68,News 13,106.22,43.46
2025,2,NONE,The Huncho Pirates,144.54,Griddy Galaxy Gurus,125.7,18.84
2025,2,NONE,Franklin's Football Turtles,135.64,Fantasy Hunters 🥷🏽,119.7,15.94
2025,2,NONE,Bijan the Mustard King ,123.2,RUMBLING,134.88,11.68
